央视频道,#genre#
CCTV1,http://112.86.202.37:8112/JSBC_iptv/C10000037@JSBC
CCTV2,http://112.86.202.37:8112/JSBC_iptv/C10000038@JSBC
CCTV3,http://112.86.202.37:8112/JSBC_iptv/C10000220@JSBC
CCTV4,http://112.86.202.37:8112/JSBC_iptv/C10000039@JSBC
CCTV5,http://112.86.202.37:8112/JSBC_iptv/C10000221@JSBC
CCTV6,http://112.86.202.37:8112/JSBC_iptv/C10000222@JSBC
CCTV7,http://157.0.143.37:8112/JSBC_iptv/C10000403@JSBC
CCTV8,http://112.86.202.37:8112/JSBC_iptv/C10000223@JSBC
CCTV5+,http://112.86.202.37:8112/JSBC_iptv/C10000040@JSBC
CCTV9,http://112.86.202.37:8112/JSBC_iptv/C10000042@JSBC
CCTV10,http://112.86.202.37:8112/JSBC_iptv/C10000119@JSBC
CCTV11,http://157.0.143.37:8112/JSBC_iptv/C10000402@JSBC
CCTV12,http://112.86.202.37:8112/JSBC_iptv/C10000120@JSBC
CCTV13,http://112.86.202.37:8112/JSBC_iptv/C10000232@JSBC
CCTV14,http://112.86.202.37:8112/JSBC_iptv/C10000121@JSBC
CCTV15,http://112.86.202.37:8112/JSBC_iptv/C10000404@JSBC
CCTV15,http://122.97.211.133:8112/JSBC_iptv/C10000193@JSBC
CCTV17,http://112.86.202.37:8112/JSBC_iptv/C10000041@JSBC
CCTV16,http://112.86.202.37:8112/JSBC_iptv/C10000193@JSBC
CETV1,http://112.86.202.37:8112/JSBC_iptv/C10000173@JSBC

卫视频道,#genre#
江苏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000015@JSBC
湖南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000043@JSBC
浙江卫视,http://112.86.202.37:8112/JSBC_iptv/C10000044@JSBC
东方卫视,http://112.86.202.37:8112/JSBC_iptv/C10000045@JSBC
北京卫视,http://112.86.202.37:8112/JSBC_iptv/C10000046@JSBC
广东卫视,http://112.86.202.37:8112/JSBC_iptv/C10000047@JSBC
深圳卫视,http://112.86.202.37:8112/JSBC_iptv/C10000048@JSBC
山东卫视,http://112.86.202.37:8112/JSBC_iptv/C10000049@JSBC
湖北卫视,http://112.86.202.37:8112/JSBC_iptv/C10000051@JSBC
天津卫视,http://112.86.202.37:8112/JSBC_iptv/C10000052@JSBC
重庆卫视,http://112.86.202.37:8112/JSBC_iptv/C10000053@JSBC
辽宁卫视,http://112.86.202.37:8112/JSBC_iptv/C10000141@JSBC
快乐垂钓,http://112.86.202.37:8112/JSBC_iptv/C10000142@JSBC
宁夏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000163@JSBC
新疆卫视576,http://112.86.202.37:8112/JSBC_iptv/C10000165@JSBC
四川卫视,http://112.86.202.37:8112/JSBC_iptv/C10000167@JSBC
江西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000168@JSBC
东南卫视,http://157.0.143.37:8112/JSBC_iptv/C10000169@JSBC
东南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000169@JSBC
吉林卫视,http://112.86.202.37:8112/JSBC_iptv/C10000170@JSBC
贵州卫视,http://112.86.202.37:8112/JSBC_iptv/C10000171@JSBC
河北卫视,http://112.86.202.37:8112/JSBC_iptv/C10000172@JSBC
陕西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000177@JSBC
西藏卫576,http://112.86.202.37:8112/JSBC_iptv/C10000184@JSBC
河南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000185@JSBC
金鹰纪实,http://112.86.202.37:8112/JSBC_iptv/C10000187@JSBC
安徽卫视,http://112.86.202.37:8112/JSBC_iptv/C10000192@JSBC
广西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000198@JSBC
海南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000200@JSBC
云南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000202@JSBC
江苏城市,http://112.86.202.37:8112/JSBC_iptv/C10000224@JSBC
江苏综艺,http://112.86.202.37:8112/JSBC_iptv/C10000225@JSBC
江苏体育休闲,http://112.86.202.37:8112/JSBC_iptv/C10000226@JSBC
江苏影视,http://112.86.202.37:8112/JSBC_iptv/C10000227@JSBC
优漫卡通,http://112.86.202.37:8112/JSBC_iptv/C10000228@JSBC
江苏新闻,http://112.86.202.37:8112/JSBC_iptv/C10000229@JSBC
江苏教育,http://112.86.202.37:8112/JSBC_iptv/C10000231@JSBC
甘肃卫视,http://157.0.143.37:8112/JSBC_iptv/C10000407@JSBC
青海卫视,http://157.0.143.37:8112/JSBC_iptv/C10000408@JSBC
三沙卫视,http://157.0.143.37:8112/JSBC_iptv/C10000410@JSBC
盐城,http://122.97.211.133:8112/JSBC_iptv/C10000234@JSBC
梨园频道,http://157.0.143.37:8112/JSBC_iptv/C10000235@JSBC
武术世界,http://157.0.143.37:8112/JSBC_iptv/C10000236@JSBC
文物宝库,http://157.0.143.37:8112/JSBC_iptv/C10000237@JSBC

